en,fr
mouse,souris
lion,lion
tiger,tigre
bear,ours
elephant,éléphant
monkey,singe
snake,serpent
spider,araignée
butterfly,papillon
bee,abeille
ant,fourmi
tree,arbre
flower,fleur
grass,herbe
leaf,feuille
branch,branche
root,racine
seed,graine
plant,plante
rose,rose
sun,soleil
moon,lune
star,étoile
sky,ciel
cloud,nuage
rain,pluie
snow,neige
wind,vent
storm,tempête
thunder,tonnerre
lightning,éclair
rainbow,arc-en-ciel
red,rouge
blue,bleu
green,vert
yellow,jaune
orange,orange
purple,violet
pink,rose
brown,marron
black,noir
white,blanc
gray,gris
gold,or
silver,argent
one,un
two,deux
three,trois
four,quatre
five,cinq
six,six
seven,sept
eight,huit
nine,neuf
ten,dix
eleven,onze
twelve,douze
thirteen,treize
fourteen,quatorze
fifteen,quinze
sixteen,seize
seventeen,dix-sept
eighteen,dix-huit
nineteen,dix-neuf
twenty,vingt
thirty,trente
forty,quarante
fifty,cinquante
hundred,cent
thousand,mille
million,million
first,premier
second,deuxième
third,troisième
last,dernier
next,prochain
previous,précédent
head,tête
face,visage
eye,oeil
ear,oreille
nose,nez
mouth,bouche
tooth,dent
tongue,langue
lip,lèvre
hair,cheveux
neck,cou
shoulder,épaule
arm,bras
hand,main
finger,doigt
leg,jambe
foot,pied
toe,orteil
heart,coeur
brain,cerveau
blood,sang
bone,os
skin,peau
clothes,vêtements
shirt,chemise
pants,pantalon
dress,robe
skirt,jupe
jacket,veste
coat,manteau
sweater,pull
shoes,chaussures
boots,bottes
hat,chapeau
glasses,lunettes
watch,montre
ring,bague
bag,sac
umbrella,parapluie
key,clé
knife,couteau
fork,fourchette
spoon,cuillère
plate,assiette
cup,tasse
glass,verre
bottle,bouteille
box,boîte
paper,papier
love,amour
hate,haine
fear,peur
hope,espoir
dream,rêve
truth,vérité
lie,mensonge
peace,paix
war,guerre
life,vie
death,mort
birth,naissance
name,nom
word,mot
language,langue
question,question
answer,réponse
problem,problème
solution,solution
idea,idée
thought,pensée
memory,mémoire
future,avenir
past,passé
present,présent
beginning,début
end,fin
middle,milieu
part,partie
whole,tout
half,moitié
nothing,rien
everything,tout
something,quelque chose
anything,n'importe quoi
nobody,personne
everybody,tout le monde
somebody,quelqu'un
anybody,n'importe qui
